game_id,season,week,home_team,away_team,y_true,y_pred,vegas_home_line,home_covered,model_pick_home_ats,ats_correct,vegas_ats_correct,agrees_with_book
2010_04_ARI_SD,2010,4,SD,ARI,31.0,3.996089078770548,10.0,1,0,0,1,0
2010_04_CHI_NYG,2010,4,NYG,CHI,14.0,1.4309690008292584,3.5,1,0,0,1,0
2010_04_NE_MIA,2010,4,MIA,NE,-27.0,-5.578159434167599,1.0,0,0,1,0,0
2010_05_DEN_BAL,2010,5,BAL,DEN,14.0,7.252463329721075,8.0,1,0,0,1,0
2010_05_JAX_BUF,2010,5,BUF,JAX,-10.0,2.488828906514787,2.5,0,0,1,0,0
2010_05_CHI_CAR,2010,5,CAR,CHI,-17.0,4.092288759052164,2.5,0,1,0,0,1
2010_05_TB_CIN,2010,5,CIN,TB,-3.0,5.6560915157516005,6.5,0,0,1,0,0
2010_05_ATL_CLE,2010,5,CLE,ATL,-10.0,-3.5497882681318136,-3.0,0,0,1,1,1
2010_05_STL_DET,2010,5,DET,STL,38.0,2.494194723302072,3.0,1,0,0,1,0
2010_05_NYG_HOU,2010,5,HOU,NYG,-24.0,5.194190709649397,3.0,0,1,0,0,1
2010_05_KC_IND,2010,5,IND,KC,10.0,10.475921060976122,7.5,1,1,1,1,1
2010_05_GB_WAS,2010,5,WAS,GB,3.0,-8.695850242118489,-2.5,1,0,0,0,1
2010_05_NO_ARI,2010,5,ARI,NO,10.0,-5.426680958322256,-6.5,1,1,1,0,0
2010_05_TEN_DAL,2010,5,DAL,TEN,-7.0,4.570726713146738,6.5,0,0,1,0,0
2010_05_SD_OAK,2010,5,OAK,SD,8.0,-4.888262866160103,-7.0,1,1,1,0,0
2010_05_PHI_SF,2010,5,SF,PHI,-3.0,-4.079512302783672,3.0,0,0,1,0,0
2010_05_MIN_NYJ,2010,5,NYJ,MIN,9.0,8.326546873758701,4.0,1,1,1,1,1
2010_06_SEA_CHI,2010,6,CHI,SEA,-3.0,6.925684106720886,6.0,0,1,0,0,1
2010_06_MIA_GB,2010,6,GB,MIA,-3.0,6.791021026246927,3.0,0,1,0,0,1
2010_06_KC_HOU,2010,6,HOU,KC,4.0,2.994490886332462,4.5,0,0,1,0,0
2010_06_BAL_NE,2010,6,NE,BAL,3.0,7.012314492355128,3.0,0,1,0,0,1
2010_06_DET_NYG,2010,6,NYG,DET,8.0,10.146395765329208,10.0,0,1,0,0,1
2010_06_ATL_PHI,2010,6,PHI,ATL,14.0,6.12604241081676,1.0,1,1,1,1,1
2010_06_CLE_PIT,2010,6,PIT,CLE,18.0,9.613854335981127,14.0,1,0,0,1,0
2010_06_SD_STL,2010,6,STL,SD,3.0,-4.637554448624279,-9.5,1,1,1,0,0
2010_06_NO_TB,2010,6,TB,NO,-25.0,-5.067138793787222,-5.5,0,1,0,1,0
2010_06_NYJ_DEN,2010,6,DEN,NYJ,-4.0,0.0131408949561056,-3.5,0,1,0,1,0
2010_06_OAK_SF,2010,6,SF,OAK,8.0,4.591737302415976,9.0,0,0,1,0,0
2010_06_DAL_MIN,2010,6,MIN,DAL,3.0,1.6147408830264285,1.0,1,1,1,1,1
2010_06_IND_WAS,2010,6,WAS,IND,-3.0,-10.442502478064505,-3.0,0,0,1,1,1
2010_06_TEN_JAX,2010,6,JAX,TEN,-27.0,-1.6158530167442284,-3.0,0,1,0,1,0
2010_07_CIN_ATL,2010,7,ATL,CIN,7.0,2.204494052573369,3.5,1,0,0,1,0
2010_07_BUF_BAL,2010,7,BAL,BUF,3.0,13.179486771684829,12.0,0,1,0,0,1
2010_07_SF_CAR,2010,7,CAR,SF,3.0,2.740451336860885,-1.0,1,1,1,0,0
2010_07_WAS_CHI,2010,7,CHI,WAS,-3.0,2.477170547799698,3.0,0,0,1,0,0
2010_07_JAX_KC,2010,7,KC,JAX,22.0,3.3383211241936803,9.0,1,0,0,1,0
2010_07_PIT_MIA,2010,7,MIA,PIT,-1.0,-2.257108828486036,-3.0,1,1,1,0,0
2010_07_CLE_NO,2010,7,NO,CLE,-13.0,12.876972165232768,12.0,0,1,0,0,1
2010_07_STL_TB,2010,7,TB,STL,1.0,6.504592446718486,3.0,0,1,0,0,1
2010_07_PHI_TEN,2010,7,TEN,PHI,18.0,6.316122879363444,3.0,1,1,1,1,1
