team,division,conference,current_wins,sim_wins_mean,sim_wins_p10,sim_wins_p90,division_win_odds,playoff_odds
DEN,AFC_WEST,AFC,0,10.324,8.0,13.0,0.5638,0.773
BUF,AFC_EAST,AFC,0,10.014,8.0,12.0,0.4701,0.7223
HOU,AFC_SOUTH,AFC,0,10.0265,7.0,13.0,0.4485,0.7131
NE,AFC_EAST,AFC,0,9.9399,7.0,12.0,0.4533,0.71
JAX,AFC_SOUTH,AFC,0,9.8507,7.0,12.0,0.3982,0.6887
BAL,AFC_NORTH,AFC,0,9.6993,7.0,12.0,0.4107,0.6567
PIT,AFC_NORTH,AFC,0,9.1681,7.0,12.0,0.3031,0.5504
LAC,AFC_WEST,AFC,0,8.9151,6.0,11.0,0.2457,0.5002
CIN,AFC_NORTH,AFC,0,8.6914,6.0,11.0,0.2162,0.4532
KC,AFC_WEST,AFC,0,8.3826,6.0,11.0,0.1785,0.3968
IND,AFC_SOUTH,AFC,0,8.2014,6.0,11.0,0.1419,0.3596
CLE,AFC_NORTH,AFC,0,7.1034,5.0,10.0,0.07,0.1824
MIA,AFC_EAST,AFC,0,6.9893,5.0,10.0,0.0614,0.1694
NYJ,AFC_EAST,AFC,0,5.5985,3.0,8.0,0.0152,0.0476
TEN,AFC_SOUTH,AFC,0,5.476,3.0,8.0,0.0114,0.0398
LV,AFC_WEST,AFC,0,5.3318,3.0,8.0,0.012,0.0368
LA,NFC_WEST,NFC,0,10.5006,8.0,13.0,0.3666,0.7469
SEA,NFC_WEST,NFC,0,10.3667,8.0,13.0,0.3431,0.7227
DET,NFC_NORTH,NFC,0,10.118,8.0,13.0,0.3841,0.6824
SF,NFC_WEST,NFC,0,10.0434,8.0,13.0,0.2757,0.6596
PHI,NFC_EAST,NFC,0,9.7368,7.0,12.0,0.5355,0.6575
GB,NFC_NORTH,NFC,0,9.3798,7.0,12.0,0.249,0.5295
MIN,NFC_NORTH,NFC,0,8.9558,6.0,12.0,0.189,0.4529
CHI,NFC_NORTH,NFC,0,8.8806,6.0,11.0,0.1779,0.4355
TB,NFC_SOUTH,NFC,0,8.239,6.0,11.0,0.3331,0.4089
ATL,NFC_SOUTH,NFC,0,8.1163,6.0,11.0,0.3006,0.3764
WAS,NFC_EAST,NFC,0,8.0429,5.0,11.0,0.1984,0.3173
NO,NFC_SOUTH,NFC,0,7.7077,5.0,10.0,0.2249,0.2941
DAL,NFC_EAST,NFC,0,7.7346,5.0,10.0,0.1604,0.2687
CAR,NFC_SOUTH,NFC,0,6.9798,4.0,10.0,0.1414,0.1944
NYG,NFC_EAST,NFC,0,7.2568,5.0,10.0,0.1057,0.1853
ARI,NFC_WEST,NFC,0,6.2292,4.0,9.0,0.0146,0.0679
